sheet	row	values
Dados	8	|Gustavo Nascimento||0010|RANHURADOR PADRÃO CANECA||||Ricardo Gomes Ferreira||PX014||||||
Dados	9	|Paulo Henrique||0011|RANHURADOR PADRÃO CANECA||||Ernandes Xavier||PX023||||||
Dados	10	|||1011|RANHURADOR PADRÃO CANECA||||Vitor Postigo||PX059||||||
Dados	11	||||RANHURADOR WuHu||||Alex José da Silva||PX060||||||
Dados	12	|||0012|RANHURADOR PADRÃO CANECA||||Rodrigo José da Silva||PX022||||||
Dados	13	|||0045|BLANK QUADRADO + FURO PARA ROTOR||||Joao Cardoso||PX034||||||
Dados	14	|||0018|RANHURADOR PADRÃO CANECA||||Gislaine Pereira Dias Nague||PX035||||||
Dados	15	|||1019|RANHURADOR PADRÃO CANECA||||Odair Mangueira Cruz||PX052||||||
Dados	16	|||1018|RANHURADOR PADRÃO CANECA||||||PX056||||||
Dados	17	|||2010|RANHURADOR PADRÃO CANECA||||||PX057||||||
Dados	18	|||0002|FURO DE VENTILAÇÃO||||||PX058||||||
Dados	19	||||||||||PX029||||||
